States,Area Code
Alaska,2
Alabama,3
Arkansas,4
Arizona,5
California,6
Colorado,7
Connecticut,8
District of Columbia,9
Delaware,10
Florida,11
Georgia,12
Hawaii,13
Iowa,14
Idaho,15
Illinois,16
Indiana,17
Kansas,18
Kentucky,19
Louisiana,20
Massachusetts,21
Maryland,22
Michigan,23
Minnesota,24
Missouri,25
Mississippi,26
Montana,27
North Carolina,28
North Dakota,29
Nebraska,30
New Hampshire,31
New Jersey,32
New Mexico,33
Nevada,34
New York,35
Ohio,36
Oklahoma,37
Oregon,38
Pennsylvania,39
Rhode Island,40
South Carolina,40
Tennessee,42
Texas,43
Utah,44
Virginia,45
Vermont,46
Washington,47
Wisconsin,48
West Virginia,49
Wyoming,50
Maine,51
South Dakota,52
